!!			
!!  偵察戦力緊急展開！「光」作戦 (2017年 冬)			
!!			
いおーじま	イオー・ジマ	固有一般	Essex型航空母艦 CV-46
ふぃりぴんしー	Philippine Sea	固有一般	Essex型航空母艦 CV-47
ふぃりぴんしー	フィリピン・シー	固有一般	Essex型航空母艦 CV-47
!!			
!!  五周年任務 (2018年 4月)			
!!			
さみゅえるびーろばーつ	Samuel B.Roberts	固有一般	John C.Butler型護衛駆逐艦 DE-413
さみゅえるびーろばーつ	サミュエル・Ｂ・ロバーツ	固有一般	John C.Butler型護衛駆逐艦 DE-413
さみゅえる	Samuel	固有一般	John C.Butler型護衛駆逐艦 DE-413
さみゅえる	サミュエル	固有一般	John C.Butler型護衛駆逐艦 DE-413
!!			
!!  抜錨！連合艦隊、西へ！ (2018年 初秋)			
!!			
きしなみ	岸波	固有一般	夕雲型駆逐艦 15番艦
やわたまる	八幡丸	固有一般	大鷹型軽空母 2番艦
うんよう	雲鷹	固有一般	大鷹型軽空母 2番艦
にったまる	新田丸	固有一般	大鷹型軽空母 3番艦
ちゅうよう	冲鷹	固有一般	大鷹型軽空母 3番艦
しゃるんほるすと	Scharnhorst	固有一般	大鷹型軽空母 4番艦
しゃるんほるすと	シャルンホルスト	固有一般	大鷹型軽空母 4番艦
しんよう	神鷹	固有一般	大鷹型軽空母 4番艦
ごとらんど	Gotland	固有一般	Gotland型航空巡洋艦
ごとらんど	ゴトランド	固有一般	Gotland型航空巡洋艦
ごとらんどかい	Gotland	固有一般	Gotland型防空巡洋艦
ごとらんどかい	ゴトランド	固有一般	Gotland型防空巡洋艦
まえすとらーれ	Maestrale	固有一般	Maestrale型駆逐艦 1番艦
まえすとらーれ	マエストラーレ	固有一般	Maestrale型駆逐艦 1番艦
ぐれかーれ	Grecale	固有一般	Maestrale型駆逐艦 2番艦
ぐれかーれ	グレカーレ	固有一般	Maestrale型駆逐艦 2番艦
りべっちお	Libeccio	固有一般	Maestrale型駆逐艦 3番艦
りべっちお	リベッチオ	固有一般	Maestrale型駆逐艦 3番艦
しろっこ	Scirocco	固有一般	Maestrale型駆逐艦 4番艦
しろっこ	シロッコ	固有一般	Maestrale型駆逐艦 4番艦
ねるそん	Nelson	固有一般	Nelson型戦艦 1番艦
ねるそん	ネルソン	固有一般	Nelson型戦艦 1番艦
ろどにー	Rodney	固有一般	Nelson型戦艦 2番艦
ろどにー	ロドニー	固有一般	Nelson型戦艦 2番艦
!!			
!!  邀撃！ブイン防衛作戦 (2019年 冬)			
!!			
じょんすとん	Johnston	固有一般	Fletcher型駆逐艦 DD-557
じょんすとん	ジョンストン	固有一般	Fletcher型駆逐艦 DD-557
にしきりくじょうていさつき	二式陸上偵察機	固有一般	
!!			
!!  発動！友軍救援「第二次ハワイ作戦」 (2019年 春)			
!!			
るいーじでぃさう゛ぉいあどぅーかでっりあぶるっつぃ	Luigi di Savoia Duca degli Abruzzi	固有一般	Luigi di Savoia Duca degli Abruzzi型軽巡洋艦 1番艦
るいーじでぃさう゛ぉいあどぅーかでっりあぶるっつぃ	ルイージ・ディ・サヴォイア・ドゥーカ・デッリ・アブルッツィ	固有一般	Luigi di Savoia Duca degli Abruzzi型軽巡洋艦 1番艦
じゅぜっぺがりばるでぃ	Giuseppe Garibaldi	固有一般	Luigi di Savoia Duca degli Abruzzi型軽巡洋艦 2番艦
じゅぜっぺがりばるでぃ	ジュゼッペ・ガリバルディ	固有一般	Luigi di Savoia Duca degli Abruzzi型軽巡洋艦 2番艦
がりばるでぃ	Garibaldi	固有一般	Luigi di Savoia Duca degli Abruzzi型軽巡洋艦 2番艦
がりばるでぃ	ガリバルディ	固有一般	Luigi di Savoia Duca degli Abruzzi型軽巡洋艦 2番艦
ふれっちゃー	Fletcher	固有一般	Fletcher型駆逐艦 1番艦 DD-445
ふれっちゃー	フレッチャー	固有一般	Fletcher型駆逐艦 1番艦 DD-445
ころらど	Colorado	固有一般	Colorado型戦艦 1番艦 BB-45
